"EventId","EventTemplate","Occurrences"
"E59","('named', 'shutdown', 'succeeded')","2"
"E60","('snmpd', 'shutdown', 'succeeded')","4"
"E61","('crond', 'shutdown', 'succeeded')","4"
"E62","('apmd', 'shutdown', 'succeeded')","4"
"E63","('rpc.statd', 'shutdown', 'succeeded')","3"
"E64","('portmap', 'shutdown', 'succeeded')","3"
"E65","('messagebus', 'shutdown', 'failed')","1"
"E66","('xfs', 'shutdown', 'failed')","1"
"E67","('named', 'shutdown', 'failed')","2"
"E68","('rpc.statd', 'shutdown', 'failed')","1"
"E69","('portmap', 'shutdown', 'failed')","1"
"E70","('<*>', '<*>', 'initialized')","8"
"E71","('connect', 'from', '<*>')","1"
"E72","('Starting', '<*>', 'succeeded')","33"
"E73","('sdpd', 'startup', 'succeeded')","8"
"E74","('Device:', '/dev/hda,', 'opened')","8"
"E75","('smartd', 'startup', 'succeeded')","8"
"E76","('smartd', 'shutdown', 'succeeded')","4"
"E77","('EXT3-fs:', 'recovery', 'complete.')","4"
"E78","('cupsd', 'startup', 'succeeded')","41"
"E79","('cupsd', 'shutdown', 'succeeded')","37"
"E80","('xinetd', 'startup', 'succeeded')","8"
"E81","('xinetd', 'shutdown', 'succeeded')","4"
"E82","('sendmail', '<*>', 'succeeded')","12"
"E83","('Stopping', '<*>', 'succeeded')","7"
"E84","('sendmail', '<*>', 'failed')","5"
"E85","('Stopping', '<*>', '')","4"
"E86","('Stopping', '<*>', 'failed')","2"
"E87","('sm-client', 'startup', 'succeeded')","9"
"E88","('sm-client', 'shutdown', 'succeeded')","3"
"E89","('sm-client', 'shutdown', 'failed')","3"
"E90","('ntpd', 'startup', 'succeeded')","8"
"E91","('ntpd', 'shutdown', 'succeeded')","4"
"E92","('kernel.core_uses_pid', '=', '<*>')","4"
"E93","('jserver', 'shutdown', 'succeeded')","3"
"E94","('sshd', '-TERM', 'succeeded')","4"
"E95","('jserver', 'shutdown', 'failed')","1"
"E96","('bad', 'username', '[;;]')","1"
"E97","('bad', 'username', '[]')","9"
"E98","('bad', 'username', '[\\\\]')","1"
"E99","(""Couldn't"", 'authenticate', 'user')","10"
"E100","('Kerberos', 'authentication', 'failed')","25"
"E101","('irw_killserver:', 'cannaserver', 'end')","4"
"E102","('net.ipv4.conf.default.rp_filter', '=', '<*>')","2"
"E103","('kernel.sysrq', '=', '<*>')","2"
"E104","('ide0:', 'reset:', 'success')","1"
"E105","('SELinux:', 'Completing', 'initialization.')","1"
"E106","('Call', 'Trace:', '')","88"
"E107","('<*>', 'ext3_get_inode_loc+0x4f/0x201', '[ext3]')","12"
"E108","('<*>', 'ext3_reserve_inode_write+0x21/0x81', '[ext3]')","14"
"E109","('<*>', 'ext3_mark_inode_dirty+0x11/0x27', '[ext3]')","14"
"E110","('<*>', 'ext3_dirty_inode+0x4f/0x5f', '[ext3]')","14"
"E111","('<*>', 'journal_start+0x78/0x9e', '[jbd]')","14"
"E112","('<*>', 'ext3_file_write+0x19/0x88', '[ext3]')","15"
"E113","('<*>', '<*>', '[ext3]')","2"
"E114","('klogd', '<*>', 'log', 'source', '=', '/proc/kmsg', 'started.')","9"
"E115","('<*>', 'zone:', '<*>', 'pages,', 'LIFO', 'batch:', '<*>')","24"
"E116","('<*>', '<*>', '<*>', '<*>', 'UHCI', 'Host', 'Controller')","8"
"E117","('You', 'can', 'enable', 'it', '<*>', 'acpi=', 'force')","8"
"E118","('CPU', '<*>', 'irqstacks,', 'hard=', '<*>', 'soft=', '<*>')","8"
"E119","('CPU:', 'Intel', 'Pentium', 'III', '<*>', 'stepping', '<*>')","8"
"E120","('agpgart:', 'Detected', 'an', 'Intel', '<*>', 'E', 'Chipset.')","8"
"E121","('hdc:', 'SAMSUNG', 'CD-ROM', '<*>', '<*>', 'CD/DVD-ROM', 'drive')","8"
"E122","('hdc:', '<*>', '<*>', 'CD-ROM', '<*>', '<*>', 'Cache')","8"
"E123","('USB', 'Universal', 'Host', 'Controller', '<*>', 'driver', '<*>')","8"
"E124","('process', ""`syslogd'"", 'is', 'using', '<*>', 'setsockopt', 'SO_BSDCOMPAT')","8"
"E125","('Intel', 'machine', 'check', 'reporting', 'enabled', 'on', 'CPU#0.')","8"
"E126","('<*>', 'fast', 'FPU', 'save', '<*>', 'restore...', '<*>')","8"
"E127","('<*>', '<*>', '<*>', '<*>', '<*>', 'irq', '<*>')","16"
"E128","('<*>', 'Compressed', 'image', 'found', '<*>', 'block', '<*>')","8"
"E129","('<*>', '<*>', 'is', 'a', '<*>', 'Semiconductor', '<*>')","8"
"E130","('<*>', 'HCI', 'device', '<*>', '<*>', 'manager', '<*>')","8"
"E131","('<*>', 'unmasked', 'SIMD', 'FPU', 'exception', 'support...', '<*>')","8"
"E132","('<*>', 'agpgart', 'interface', '<*>', '(c)', 'Dave', '<*>')","8"
"E133","('<*>', 'AGP', 'aperture', 'is', '<*>', '@', '<*>')","8"
"E134","('<*>', 'ImPS/2', 'Logitech', 'Wheel', 'Mouse', 'on', '<*>')","8"
"E135","('isapnp:', 'No', 'Plug', '&', 'Play', 'device', 'found')","8"
"E136","('Monitoring', '<*>', 'ATA', 'and', '<*>', 'SCSI', 'devices')","8"
"E137","('microcode:', 'No', 'suitable', 'data', 'for', 'cpu', '<*>')","8"
"E138","('EXT3-fs:', 'INFO:', 'recovery', 'required', 'on', 'readonly', 'filesystem.')","4"
"E139","('EXT3-fs:', 'hda2:', 'orphan', 'cleanup', 'on', 'readonly', 'fs')","1"
"E140","('hda:', 'dma_timer_expiry:', 'dma', 'status', '=', '=', '<*>')","1"
"E141","('EXT3-fs:', 'mounted', 'filesystem', 'with', 'ordered', 'data', 'mode.')","16"
"E142","(""couldn't"", 'add', 'command', 'channel', '<*>', 'not', 'found')","8"
"E143","('No', 'such', 'internal', 'service:', 'services/stream', '-', 'DISABLING')","8"
"E144","('starting', 'BIND', '<*>', '-u', 'named', '-t', '/var/named/chroot')","8"
"E145","('listening', 'on', 'IPv4', 'interface', 'eth0:', '<*>', '<*>')","176"
"E146","('getpeername', '(ftpd):', 'Transport', 'endpoint', 'is', 'not', 'connected')","43"
"E147","('service(sshd)', 'ignoring', 'max', 'retries;', '<*>', '>', '<*>')","11"
"E148","('tty2:', 'invalid', 'character', '<*>', 'in', 'login', 'name')","1"
"E149","('Received', 'TERM', 'or', 'STOP', 'signal...', 'shutting', 'down...')","4"
"E150","('[smux_accept]', 'accepted', 'fd', '<*>', 'from', '<*>', '<*>')","1"
"E151","('Unable', 'to', 'get', 'command', 'line', 'from', 'client!')","1"
"E152","('Out', 'of', 'Memory:', 'Killed', 'process', '<*>', '<*>')","10404"
"E153","('ANONYMOUS', 'FTP', 'LOGIN', 'FROM', '<*>', '<*>', '(Sgpuser@home.com)')","8"
"E154","('ANONYMOUS', 'FTP', 'LOGIN', 'FROM', '<*>', '<*>', '(anonymous)')","1"
"E155","('Linux', 'version', '<*>', '(bhcompile@bugs.build.redhat.com)', '(gcc', 'version', '<*>', '<*>', '(Red', 'Hat', 'Linux', '<*>', '<*>', 'Sat', 'May', '<*>', '<*>', 'EDT', '<*>')","8"
"E156","('BIOS-provided', 'physical', 'RAM', 'map:', '')","8"
"E157","('POSIX', 'conformance', 'testing', 'by', 'UNIFIX')","8"
"E158","('Real', 'Time', 'Clock', 'Driver', '<*>')","8"
"E159","('device-mapper:', '4.1.0-ioctl', '<*>', 'initialised:', 'dm@uk.sistina.com')","8"
"E160","('<*>', '<*>', '<*>', '<*>', '<*>')","40"
"E161","('<*>', 'Using', '<*>', 'type', '<*>')","8"
"E162","('<*>', 'random', '<*>', 'generator:', '<*>')","8"
"E163","('<*>', 'up', '<*>', 'interface:', '<*>')","7"
"E164","('<*>', 'up', '<*>', 'eth0:', '<*>')","1"
"E165","('On', 'node', '<*>', 'totalpages:', '<*>')","8"
"E166","('mapped', '<*>', '<*>', 'to', '<*>')","8"
"E167","('Calibrating', 'delay', '<*>', '<*>', 'BogoMIPS')","8"
"E168","('selinux_register_security:', 'Registering', '<*>', 'module', 'capability')","8"
"E169","('Total', 'HugeTLB', '<*>', 'allocated,', '<*>')","8"
"E170","('hda:', 'max', '<*>', 'size:', '<*>')","8"
"E171","('Freeing', 'initrd', '<*>', '<*>', 'freed')","8"
"E172","('VFS:', 'Mounted', '<*>', '(ext2', 'filesystem).')","8"
"E173","('IPv6', 'over', '<*>', 'tunneling', 'driver')","8"
"E174","('Floppy', 'drive(s):', '<*>', 'is', '<*>')","8"
"E175","('Started', 'working:', '<*>', 'available', 'services')","8"
"E176","('<*>', 'tsc', '<*>', 'high-res', 'timesource')","8"
"E177","('<*>', 'Starting', '<*>', 'permissive', 'mode')","8"
"E178","('<*>', 'Scanning', '<*>', 'PnP', 'cards...')","8"
"E179","('<*>', 'daemon', '<*>', '<*>', 'started')","8"
"E180","('<*>', '<*>', '<*>', 'DISK', 'drive')","8"
"E181","('<*>', 'page', '<*>', 'http:', '//smartmontools.sourceforge.net/')","8"
"E182","('<*>', 'CD-ROM', '<*>', 'Revision:', '<*>')","8"
"E183","('<*>', 'floppy', '<*>', '<*>', '<*>')","8"
"E184","('<*>', 'to', '<*>', 'stratum=', '<*>')","8"
"E185","('Intel', 'machine', 'check', 'architecture', 'supported.')","8"
"E186","('NET:', 'Registered', 'protocol', 'family', '<*>')","48"
"E187","('no', 'longer', 'listening', 'on', '<*>')","48"
"E188","('usbcore:', 'registered', 'new', 'driver', '<*>')","32"
"E189","('audit:', 'initializing', 'netlink', 'socket', '(disabled)')","7"
"E190","('audit:', 'initializing', 'netlink', 'socket', '(enabled)')","1"
"E191","('Bluetooth:', 'HCI', 'socket', 'layer', 'initialized')","8"
"E192","('Bluetooth:', 'L2CAP', 'socket', 'layer', 'initialized')","8"
"E193","('Bluetooth:', 'RFCOMM', 'TTY', 'layer', 'initialized')","8"
"E194","('Bluetooth:', 'RFCOMM', 'socket', 'layer', 'initialized')","8"
"E195","('session', 'closed', 'for', 'user', '<*>')","561"
"E196","('kernel', 'time', 'sync', 'status', '<*>')","8"
"E197","('kernel', 'time', 'sync', 'disabled', '<*>')","8"
"E198","('kernel', 'time', 'sync', 'enabled', '<*>')","8"
"E199","('ALERT', 'exited', 'abnormally', 'with', '<*>')","231"
"E200","('Received', 'SNMP', 'packet(s)', 'from', '<*>')","4"
"E201","('smartd', 'received', 'signal', '<*>', 'Terminated')","4"
"E202","('Request', 'on', '<*>', '(console', '<*>')","1"
"E203","('security:', '<*>', 'classes,', '<*>', 'rules')","1"
"E204","('shutting', 'down', 'for', 'system', 'reboot')","4"
"E205","('ntpd', 'exiting', 'on', 'signal', '<*>')","4"
"E206","('hda:', 'timeout', 'waiting', 'for', 'DMA')","1"
"E207","('SELinux:', 'Setting', 'up', 'existing', 'superblocks.')","1"
"E208","('ttloop:', 'read:', 'Connection', 'timed', 'out')","57"
"E209","('setsockopt', '(IP_TOS):', 'Operation', 'not', 'supported')","6"
"E210","('ACPI', 'disabled', 'because', 'your', 'bios', 'is', 'from', '<*>', 'and', 'too', 'old')","8"
"E211","('PCI:', 'PCI', 'BIOS', 'revision', '<*>', 'entry', 'at', '0xfc0ce,', 'last', 'bus=', '<*>')","8"
"E212","('Serial:', '<*>', 'driver', '$Revision:', '<*>', '$', '<*>', 'ports,', 'IRQ', 'sharing', 'enabled')","8"
"E213","('RAMDISK', 'driver', 'initialized:', '<*>', 'RAM', 'disks', 'of', '<*>', 'size', '<*>', 'blocksize')","8"
"E214","('<*>', '<*>', '<*>', '3Com', 'PCI', '<*>', 'Tornado', 'at', '<*>', 'Vers', '<*>')","16"
"E215","('Authentication', 'failed', 'from', '<*>', '<*>', 'Permission', 'denied', 'in', 'replay', 'cache', 'code')","8"
"E216","('Kernel', 'command', 'line:', 'ro', 'root=', 'LABEL=', '/', 'rhgb', 'quiet', 'audit=', '<*>')","1"
"E217","('<*>', '<*>', 'item=', '<*>', 'name=', '<*>', 'inode=', '<*>', 'dev=', '<*>', '<*>')","31"
"E218","('<*>', '<*>', 'item=', '<*>', 'name=', '/dev/ptmx', 'inode=', '<*>', 'dev=', '<*>', '<*>')","1"
"E219","('<*>', '<*>', 'item=', '<*>', 'name=', '/proc/sys/net/ipv4/ip_forward', 'inode=', '<*>', 'dev=', '<*>', '<*>')","1"
"E220","('<*>', '<*>', 'item=', '<*>', 'name=', '/proc/bus/usb/devices', 'inode=', '<*>', 'dev=', '<*>', '<*>')","1"
"E221","('<*>', '<*>', 'item=', '<*>', 'name=', '/proc/sys/dev/parport', 'inode=', '<*>', 'dev=', '<*>', '<*>')","1"
"E222","('<*>', '<*>', 'item=', '<*>', 'name=', '/proc/sys/dev/parport/parport0/autoprobe', 'inode=', '<*>', 'dev=', '<*>', '<*>')","1"
"E223","('<*>', '<*>', 'item=', '<*>', 'name=', '/proc/2091/exe', 'inode=', '<*>', 'dev=', '<*>', '<*>')","1"
"E224","('<*>', '<*>', 'item=', '<*>', 'name=', '/dev/log', 'inode=', '<*>', 'dev=', '<*>', '<*>')","3"
"E225","('<*>', '<*>', 'item=', '<*>', 'name=', '/proc/sys/kernel/modprobe', 'inode=', '<*>', 'dev=', '<*>', '<*>')","3"
"E226","('<*>', '<*>', 'item=', '<*>', 'name=', '/var/gdm/.gdmfifo', 'inode=', '<*>', 'dev=', '<*>', '<*>')","1"
"E227","('<*>', '<*>', 'item=', '<*>', 'name=', '/dev/pts/1', 'inode=', '<*>', 'dev=', '<*>', '<*>')","3"
"E228","('<*>', '<*>', 'item=', '<*>', 'name=', '/dev/mapper/control', 'inode=', '<*>', 'dev=', '<*>', '<*>')","2"
"E229","('<*>', '<*>', 'item=', '<*>', 'name=', '/proc/sys/kernel/hotplug', 'inode=', '<*>', 'dev=', '<*>', '<*>')","1"
"E230","('<*>', '<*>', 'item=', '<*>', 'name=', '/udev/fd0', 'inode=', '<*>', 'dev=', '<*>', '<*>')","1"
"E231","('<*>', '<*>', 'item=', '<*>', 'name=', '/udev/vcsa5', 'inode=', '<*>', 'dev=', '<*>', '<*>')","1"
"E232","('pam_check_access', 'failed,', 'user', 'does', 'not', 'have', 'proper', 'access:', 'system_u:', 'system_r:', 'kernel_t')","1"
"E233","('<*>', '<*>', 'item=', '<*>', 'name=', '/bin/bash', 'inode=', '<*>', 'dev=', '<*>', '<*>')","2"
"E234","('<*>', 'command', 'line:', 'ro', 'root=', 'LABEL=', '/', 'rhgb', 'quiet')","7"
"E235","('<*>', '<*>', 'I', 'cache:', '<*>', '<*>', 'D', 'cache:', '<*>')","8"
"E236","('<*>', 'Plug', 'and', 'Play', 'Support', '<*>', '(c)', 'Adam', 'Belay')","8"
"E237","('<*>', 'BIOS', 'version', '<*>', 'Flags', '<*>', '(Driver', 'version', '<*>')","8"
"E238","('<*>', 'not', '<*>', 'native', 'mode:', 'will', 'probe', 'irqs', 'later')","8"
"E239","('<*>', '<*>', 'Thu', 'Mar', '<*>', '<*>', 'EST', '<*>', '<*>')","8"
"E240","('PID', 'hash', 'table', 'entries:', '<*>', '(order', '<*>', '<*>', 'bytes)')","8"
"E241","('Mount-cache', 'hash', 'table', 'entries:', '<*>', '(order:', '<*>', '<*>', 'bytes)')","8"
"E242","('Dquot-cache', 'hash', 'table', 'entries:', '<*>', '(order', '<*>', '<*>', 'bytes)')","8"
"E243","('There', '<*>', '<*>', '<*>', 'security', 'framework', 'initialized,', 'register_security', 'failed.')","8"
"E244","('ACPI:', '<*>', '<*>', '<*>', 'no', 'PCI', 'IRQ', 'routing', 'entries')","8"
"E245","('Device:', '<*>', '<*>', '<*>', 'capable.', 'Adding', 'to', '""monitor""', 'list.')","8"
"E246","('smartd', '<*>', '<*>', '<*>', 'background', 'mode.', 'New', 'PID=', '<*>')","8"
"E247","('Inode-cache', 'hash', 'table', 'entries:', '<*>', '(order:', '<*>', '<*>', 'bytes)')","8"
"E248","('ICH:', 'IDE', 'controller', 'at', 'PCI', 'slot', '<*>', '<*>', '<*>')","8"
"E249","('serio:', '<*>', 'AUX', 'port', 'at', '<*>', '<*>', 'irq', '<*>')","8"
"E250","('serio:', '<*>', 'KBD', 'port', 'at', '<*>', '<*>', 'irq', '<*>')","8"
"E251","('IP:', 'routing', 'cache', 'hash', 'table', 'of', '<*>', 'buckets,', '4Kbytes')","8"
"E252","('PCI:', 'Found', 'IRQ', '<*>', 'for', 'device', '<*>', '<*>', '<*>')","24"
"E253","('uhci_hcd', '<*>', '<*>', '<*>', 'irq', '<*>', 'io', 'base', '<*>')","8"
"E254","('Adding', '<*>', 'swap', 'on', '/dev/hda3.', 'Priority:', '<*>', 'extents:', '<*>')","8"
"E255","(""couldn't"", 'add', '<*>', 'channel', ':', ':', '<*>', 'not', 'found')","8"
"E256","('FAILED', 'LOGIN', '<*>', 'FROM', '(null)', 'FOR', ',', 'Authentication', 'failure')","4"
"E257","('FAILED', 'LOGIN', '<*>', 'FROM', '(null)', 'FOR', 'root,', 'Authentication', 'failure')","3"
"E258","('FAILED', 'LOGIN', '<*>', 'FROM', '(null)', 'FOR', 'nf,', 'Authentication', 'failure')","1"
"E259","('Authentication', 'failed', 'from', '<*>', '<*>', 'Software', 'caused', 'connection', 'abort')","17"
"E260","('warning:', ""can't"", 'get', 'client', 'address:', 'Connection', 'reset', 'by', 'peer')","18"
"E261","('Squid', 'Parent:', 'child', 'process', '<*>', 'exited', 'with', 'status', '<*>')","4"
"E262","('rsync:', 'connection', 'unexpectedly', 'closed', '<*>', 'bytes', 'read', 'so', 'far)')","1"
"E263","('security:', '<*>', 'users,', '<*>', 'roles,', '<*>', 'types,', '<*>', 'bools')","1"
"E264","('SELinux:', 'initialized', '(dev', ',', 'type', '<*>', 'uses', 'transition', 'SIDs')","3"
"E265","('SELinux:', 'initialized', '(dev', ',', 'type', '<*>', 'uses', 'task', 'SIDs')","2"
"E266","('<*>', '<*>', 'item=', '<*>', 'inode=', '<*>', 'dev=', '<*>', '<*>')","6"
"E267","('Initializing', 'CPU#0')","8"
"E268","('SELinux:', 'Initializing.')","8"
"E269","('mdadm', 'succeeded')","8"
"E270","('mdmpd', 'failed')","8"
"E271","('shutting', 'down')","2"
"E272","('<*>', 'get_user_size+0x30/0x57')","6"
"E273","('^[[60G[', '<*>')","2"
"E274","('<*>', '<*>')","177"
"E275","('<*>', 'read_swap_cache_async+0x41/0x84')","44"
"E276","('<*>', 'swapin_readahead+0x2c/0x47')","23"
"E277","('<*>', 'do_swap_page+0x5d/0x1f9')","23"
"E278","('<*>', 'do_page_cache_readahead+0xa3/0x101')","23"
"E279","('<*>', 'filemap_nopage+0x119/0x26d')","23"
"E280","('<*>', 'handle_mm_fault+0x9d/0xe2')","40"
"E281","('<*>', 'do_page_fault+0x12f/0x446')","73"
"E282","('<*>', 'mempool_alloc+0x5d/0xf6')","11"
"E283","('<*>', 'vt_console_print+0x64/0x28f')","11"
"E284","('<*>', 'schedule+0x3ed/0x44d')","63"
"E285","('<*>', 'vt_console_print+0x0/0x28f')","5"
"E286","('<*>', '__call_console_drivers+0x36/0x42')","5"
"E287","('<*>', 'do_wp_page+0x97/0x21c')","5"
"E288","('<*>', 'sys_rt_sigaction+0x6b/0x80')","5"
"E289","('<*>', 'd_instantiate+0x3f/0x42')","5"
"E290","('<*>', 'sys_rt_sigprocmask+0x87/0x9a')","5"
"E291","('<*>', 'do_page_fault+0x0/0x446')","102"
"E292","('<*>', 'do_swap_page+0x64/0x1f9')","17"
"E293","('<*>', 'do_no_page+0xa1/0x235')","30"
"E294","('<*>', 'handle_mm_fault+0x71/0xe2')","30"
"E295","('<*>', 'do_swap_page+0x1d3/0x1f9')","1"
"E296","('<*>', 'generic_file_aio_write_nolock+0x4fe/0x84e')","1"
"E297","('<*>', 'module_text_address+0x3a/0x5d')","1"
"E298","('<*>', 'clear_page_tables+0x7c/0x8f')","1"
"E299","('<*>', 'free_pgtables+0x76/0x7b')","1"
"E300","('<*>', 'unmap_region+0x80/0xaa')","1"
"E301","('<*>', 'unmap_vma_list+0xe/0x17')","1"
"E302","('<*>', 'sys_setuid+0xdd/0xe9')","1"
"E303","('Master', 'rebooting...')","1"
"E304","('<*>', 'follow_page+0xda/0xe5')","19"
"E305","('<*>', 'rw_vm+0x1ce/0x1ea')","16"
"E306","('<*>', 'find_or_create_page+0x39/0x70')","14"
"E307","('<*>', 'grow_dev_page+0x27/0xc3')","14"
"E308","('<*>', '__getblk_slow+0xa1/0xcb')","14"
"E309","('<*>', '__getblk+0x25/0x2b')","14"
"E310","('<*>', '__mark_inode_dirty+0x20/0xca')","14"
"E311","('<*>', 'inode_update_time+0x8e/0x96')","14"
"E312","('<*>', 'generic_file_aio_write_nolock+0x302/0x84e')","14"
"E313","('<*>', 'generic_file_aio_write+0x69/0x7c')","15"
"E314","('<*>', 'do_sync_write+0x68/0x9d')","15"
"E315","('<*>', 'do_acct_process+0x283/0x297')","15"
"E316","('<*>', 'acct_process+0x15/0x1f')","15"
"E317","('<*>', 'do_exit+0x9f/0x2e3')","15"
"E318","('<*>', 'call_console_drivers+0xbe/0xe3')","7"
"E319","('<*>', 'filemap_nopage+0x182/0x26d')","7"
"E320","('<*>', 'proc_dointvec+0x11/0x15')","4"
"E321","('<*>', 'do_proc_dointvec_conv+0x0/0x36')","4"
"E322","('<*>', 'check_free_space+0x1b5/0x1cb')","4"
"E323","('<*>', 'do_rw_proc+0x79/0x8d')","3"
"E324","('<*>', 'invalidate_inode_buffers+0x9/0x33')","3"
"E325","('<*>', '__print_symbol+0x35/0x121')","3"
"E326","('<*>', 'do_wp_page+0xcb/0x21c')","3"
"E327","('<*>', 'handle_mm_fault+0xbc/0xe2')","3"
"E328","('<*>', 'schedule+0x3f/0x44d')","9"
"E329","('<*>', '__wake_up_common+0x2f/0x50')","9"
"E330","('<*>', '__wake_up+0xe/0x16')","10"
"E331","('<*>', 'page_cache_read+0x2a/0x7a')","10"
"E332","('<*>', 'put_user_size+0x29/0x2d')","49"
"E333","('<*>', 'recalc_task_prio+0x141/0x14c')","20"
"E334","('<*>', '__fput+0xb3/0xd1')","2"
"E335","('<*>', 'input_unregister_device+0xd/0xc1')","2"
"E336","('Detected', '<*>', 'MHz', 'processor.')","8"
"E337","('CPU:', '<*>', 'cache:', '<*>')","8"
"E338","('VFS:', '<*>', 'quotas', 'dquot_6.5.1')","8"
"E339","('Mounting', '<*>', 'filesystems:', 'succeeded')","8"
"E340","('Using', '<*>', 'io', 'scheduler')","8"
"E341","('Opened', '<*>', 'file', '/etc/smartd.conf')","8"
"E342","('hda:', '<*>', 'hda2', 'hda3')","8"
"E343","('md:', '<*>', 'RAID', 'arrays.')","8"
"E344","('md:', '<*>', 'autorun', 'DONE.')","8"
"E345","('lp0:', '<*>', 'parport0', '(polling).')","8"
"E346","('Console:', 'colour', 'VGA+', '<*>')","8"
"E347","('Security', 'Scaffold', '<*>', 'initialized')","8"
"E348","('Checking', ""'hlt'"", 'instruction...', 'OK.')","8"
"E349","('Configuration', 'file', '/etc/smartd.conf', 'parsed.')","8"
"E350","('<*>', 'Subsystem', '<*>', '<*>')","8"
"E351","('<*>', 'background', '<*>', '')","8"
"E352","('<*>', 'configuration', '<*>', ""'/etc/named.conf'"")","8"
"E353","('<*>', '=', '<*>', 'usec')","8"
"E354","('PCI:', 'Probing', 'PCI', 'hardware')","8"
"E355","('parport0:', 'irq', '<*>', 'detected')","16"
"E356","('SELinux:', 'Registering', 'netfilter', 'hooks')","8"
"E357","('SELinux:', 'Unregistering', 'netfilter', 'hooks')","7"
"E358","('Setting', 'network', 'parameters:', 'succeeded')","7"
"E359","('ICH:', 'chipset', 'revision', '<*>')","8"
"E360","('Initializing', 'IPsec', 'netlink', 'socket')","8"
"E361","('SELinux:', 'Disabled', 'at', 'runtime.')","7"
"E362","('ROOT', 'LOGIN', 'ON', 'tty2')","6"
"E363","('ROOT', 'LOGIN', 'ON', 'tty3')","1"
"E364","('Bluetooth:', 'Core', 'ver', '<*>')","8"
"E365","('Bluetooth:', 'L2CAP', 'ver', '<*>')","8"
"E366","('Bluetooth:', 'RFCOMM', 'ver', '<*>')","8"
"E367","('creating', 'device', 'node', '<*>')","268"
"E368","('removing', 'device', 'node', '<*>')","216"
"E369","('***', 'info', '<*>', '')","26"
"E370","('imps2:', 'Auto-detected', 'intellimouse', 'PS/2')","15"
"E371","('check', 'pass;', 'user', 'unknown')","1043"
"E372","('gethostbyname', 'error', 'for', '<*>')","20"
"E373","('Connecting', 'at', 'fd', '<*>')","1"
"E374","('bad', 'username', '[', ']')","2"
"E375","('Switching', '<*>', 'runlevel:', '<*>')","4"
"E376","('Stopping', '<*>', 'server:', 'succeeded')","4"
"E377","('Saving', '<*>', 'seed:', 'succeeded')","4"
"E378","('password', '<*>', 'for', 'test')","4"
"E379","('Kernel', 'logging', '(proc)', 'stopped.')","5"
"E380","('Kernel', 'log', 'daemon', 'terminating.')","5"
"E381","('Connection', 'from', '<*>', '<*>')","1"
"E382","('hda:', 'DMA', 'timeout', 'retry')","1"
